time_step Pventricular Vventricular Paorta Qaorta Patrial Vatrial Qatrial
224 422241.638 196.788664 422327.829 16.3511783 35688.9418 178.444709 0
225 437213.543 196.622626 436863.521 16.8565775 35855.6078 179.278039 0
226 450744.849 196.461208 452318.698 15.4269167 36022.2738 180.111369 0
227 463520.059 196.310856 464443.368 14.6434543 36188.9398 180.944699 0
228 475539.314 196.168355 476460.862 13.8568204 36355.6058 181.778029 0
229 486843.536 196.033539 487723.813 13.1063627 36522.2718 182.611359 0
230 497287.51 195.906976 498309.806 12.2062558 36688.9378 183.444689 0
231 506312.093 195.792281 507892.004 10.7327182 36855.6038 184.278019 0
232 512813.014 195.69802 515501.001 8.11939665 37022.2698 185.111349 0
233 515175.3 195.638292 519488.426 3.82634696 37188.9358 185.944679 0
234 511204.041 195.632959 517726.559 -2.75987694 37355.6018 186.778009 0
235 499391.79 195.646759 424553.034 0 37522.2678 187.611339 0
236 478901.986 195.750386 499373.538 -20.725473 37688.9338 188.444669 0
237 449532.324 195.854013 470007.397 0 37855.5998 189.277999 0
238 412285.41 195.854013 456580.94 0 38022.2658 190.111329 0
239 369682.777 195.854013 434122.355 0 38188.9318 190.944659 0
240 324616.425 195.854013 405282.609 0 38355.5978 191.777989 0
241 280050.041 195.854013 371146.492 0 38522.2638 192.611319 0
242 236289.775 195.854013 333605.932 0 38688.9298 193.444649 0
243 199656.17 195.854013 294035.258 0 38855.5958 194.277979 0
244 168359.782 195.854013 255423.244 0 39022.2618 195.111309 0
245 142190.927 195.854013 219199.053 0 39188.9278 195.944639 0
246 120420.942 195.854013 186256.928 0 39355.5938 196.777969 0
247 102170.627 195.854013 156961.394 0 39522.2598 197.611299 0
248 86709.1996 195.854013 131271.023 0 39688.9258 198.444629 0
249 73602.9662 195.854013 108919.383 0 39855.5918 199.277959 0
250 62154.0143 195.854013 89585.4479 0 40022.2578 200.111289 0
251 53562.0736 195.854013 72825.1742 0 40188.9238 200.944619 0
252 47114.7285 195.854013 58731.0475 0 40355.5898 201.777949 0
253 42604.6415 195.854013 47132.8333 0 40522.2558 202.611279 0
254 39639.8965 195.854013 37848.1865 0 40688.9218 203.444609 0
255 37750.1237 196.019939 39527.607 -1.81098461 40824.2136 204.121068 31.3741864
256 36486.3395 196.559074 16080.8559 0 40884.8637 204.424318 74.6417808
257 35514.2116 197.564203 36460.1614 -1.12885351 40851.6328 204.258164 125.255096
258 34632.002 199.10034 4874.57893 0 40712.2002 203.561001 180.843484
259 33993.6841 201.197698 34740.3963 -1.10370618 40460.4983 202.302492 237.524417
260 33652.1692 203.846334 -1774.45362 0 40098.5409 200.492705 291.09899
261 33694.7615 206.989423 33894.8057 -0.71456645 39637.3036 198.186518 336.804338
262 34101.7933 210.529661 -5458.54796 0 39096.6365 195.483183 370.52872
263 34727.5196 214.334462 34428.6399 -0.320690502 38502.663 192.513315 390.110776
264 35354.0024 218.267007 34460.615 -0.0702632989 37883.2111 189.416055 396.007208
265 35788.3483 222.202157 35167.0174 -0.0907095661 37263.008 186.31504 390.861851
266 35929.6654 226.050322 35493.5308 -0.274869168 36660.4066 183.302033 378.405519
267 35929.4667 229.749213 35405.4114 -0.337888637 36087.9071 180.439535 360.760008
268 35990.231 233.24562 35309.1655 -0.204830487 35555.8344 177.779172 337.978656
269 36342.6882 236.475139 35465.9277 0.167057444 35076.6344 175.383172 307.887333
270 37098.8825 239.347667 36137.6085 0.674232592 34667.9535 173.339768 267.459564
271 38166.4048 241.750913 37324.673 1.12716486 34352.1688 171.760844 214.99115
272 39251.8818 243.574001 38744.1461 1.33116779 34151.7591 170.758795 152.084624
273 39962.4743 244.744023 39917.9007 1.17442904 34081.9151 170.409575 84.4253729
274 39966.965 245.260842 40361.7597 0.685248738 34143.3575 170.716788 20.7981798
275 39080.0093 245.217791 39796.9837 -0.0344813136 34317.9829 171.589915 -28.757618
276 37607.2167 245.074175 -24904.8452 0 34513.4066 172.567033 0
277 35918.4686 245.08191 37462.8019 -1.54700195 34680.0726 173.400363 0
278 34437.1659 245.089645 4769.81925 0 34846.7386 174.233693 0
279 33551.029 245.166389 34157.4287 -0.619968886 34998.6758 174.993379 14.72878
280 33449.0156 245.398013 -6637.94875 0 35119.637 175.598185 30.9759809
281 34054.618 245.754981 33230.0964 0.772208019 35214.1371 176.070686 41.1899304
282 35081.5169 246.15612 34315.9013 1.47406573 35298.329 176.491645 41.2841623
283 36210.3896 246.500509 35852.6426 1.77211545 35392.8711 176.964355 30.8397694
284 37010.4937 246.70812 37175.5516 1.56564799 35514.6771 177.573385 14.0202219
285 37419.9987 246.741586 37718.4041 1.25177728 35671.8325 178.359162 -4.50962251
286 37534.2626 246.707906 37806.3945 0.974641855 35843.0081 179.215041 0
287 37573.9549 246.698627 37659.056 0.881162497 36009.6741 180.048371 0
288 37751.3195 246.689181 37616.4137 1.0079052 36176.3401 180.881701 0
289 38178.4545 246.677876 37925.2962 1.25314389 36343.0061 181.715031 0
290 38807.4632 246.664322 38595.0681 1.45776036 36509.6721 182.548361 0
291 39486.4833 246.649459 39421.7089 1.51473788 36676.3381 183.381691 0
292 39904.9217 246.635583 40151.0775 1.26051506 36843.0041 184.215021 0
293 39947.2386 246.624861 40315.5061 0.883875928 37009.6701 185.048351 0
294 39613.7419 246.617944 39989.5692 0.499454267 37176.3361 185.881681 0
295 39065.0479 246.614098 39286.0943 0.269786225 37343.0021 186.715011 0
296 38552.8662 246.611294 38523.1822 0.291033823 37509.6681 187.548341 0
297 38307.949 246.607099 38042.8383 0.548023315 37676.3341 188.381671 0
298 38439.5541 246.599743 38056.5991 0.923169172 37843.0001 189.215001 0
299 38928.5884 246.588685 38555.8554 1.28830575 38009.6661 190.048331 0
300 51884.8624 246.51333 39395.8273 13.7828761 38176.3321 190.881661 0
301 59117.266 246.402978 64611.0999 8.28745266 38342.9981 191.714991 0
302 72632.93 246.28817 66255.0266 14.6740771 38509.6641 192.548321 0
303 92767.9817 246.107511 86009.7556 21.4578186 38676.3301 193.381651 0
304 118689.003 245.862836 112718.184 27.4770913 38842.9961 194.214981 0
305 148537.296 245.567137 144426.115 31.6627088 39009.6621 195.048311 0
306 179872.574 245.241929 178253.996 33.3789993 39176.3281 195.881641 0
307 210266.391 244.91204 211159.022 32.5988096 39342.9941 196.714971 0
308 237860.057 244.599672 240699.945 29.8747631 39509.6601 197.548301 0
309 262948.297 244.313436 265567.626 27.3723104 39676.3261 198.381631 0
310 282944.534 244.065435 288186.995 22.2279508 39842.9921 199.214961 0
311 300176.613 243.857532 303140.81 19.3527109 40009.6581 200.048291 0
312 315861.916 243.672254 317597.188 17.7028529 40176.3241 200.881621 0
313 331150.478 243.497597 331713.358 17.2284961 40342.9901 201.714951 0
314 346805.034 243.323693 346577.952 17.552378 40509.6561 202.548281 0
315 363091.001 243.145057 362575.995 18.1747276 40676.3221 203.381611 0
316 379870.517 242.960779 379481.574 18.6809356 40842.9881 204.214941 0
317 397777.478 242.768188 396754.264 19.837262 41009.6541 205.048271 0
318 414630.335 242.574936 415784.889 18.8132327 41176.3201 205.881601 0
319 431351.264 242.38746 431618.002 18.681941 41342.9861 206.714931 0
320 448092.044 242.200512 448208.205 18.7075985 41509.6521 207.548261 0
321 465091.061 242.012084 464971.267 18.9780127 41676.3181 208.381591 0
322 482495.046 241.820169 482229.301 19.4049931 41842.9841 209.214921 0
323 500235.829 241.624289 500041.331 19.7710522 42009.6501 210.048251 0
324 518018.682 241.426225 518126.974 19.8417264 42176.3161 210.881581 0
325 536391.524 241.224709 535964.646 20.4614179 42342.9821 211.714911 0
326 552997.314 241.028867 554930.879 18.7069485 42509.6481 212.548241 0
327 568675.788 240.846601 569810.255 17.7462482 42676.3141 213.381571 0
328 583427.069 240.673957 584558.42 16.7826014 42842.9801 214.214901 0
329 597301.32 240.510725 598381.524 15.8638351 43009.6461 215.048231 0
330 610120.342 240.357597 611374.596 14.7616384 43176.3121 215.881561 0
331 621198.081 240.219009 623136.321 12.956031 43342.9781 216.714891 0
332 629179.63 240.105467 632476.904 9.75246223 43509.6441 217.548221 0
333 632083.424 240.034259 637373.471 4.48910665 43676.3101 218.381551 0
334 627216.268 240.029743 635215.22 -3.58600573 43842.9761 219.214881 0
335 612725.905 240.047673 535782.026 0 44009.6421 220.048211 0
336 587586.481 240.174992 612738.946 -25.4636654 44176.3081 220.881541 0
337 551551.913 240.30231 584275.075 0 44342.9741 221.714871 0
338 505851.958 240.30231 565027.869 0 44509.6401 222.548201 0
339 453580.826 240.30231 538044.704 0 44676.3061 223.381531 0
340 398286.843 240.30231 502669.018 0 44842.9721 224.214861 0
341 343606.294 240.30231 460791.993 0 45009.6381 225.048191 0
342 289914.808 240.30231 414735.893 0 45176.3041 225.881521 0
343 244967.351 240.30231 366187.599 0 45342.9701 226.714851 0
344 206568.371 240.30231 318814.62 0 45509.6361 227.548181 0
345 174460.598 240.30231 274370.758 0 45676.3021 228.381511 0
346 147750 240.30231 233953.4 0 45842.9681 229.214841 0
347 125357.848 240.30231 198009.934 0 46009.6341 230.048171 0
348 106387.511 240.30231 166489.622 0 46176.3001 230.881501 0
349 90306.8693 240.30231 139065.626 0 46342.9661 231.714831 0
350 76259.6229 240.30231 115344.106 0 46509.6321 232.548161 0
351 65717.775 240.30231 94780.2724 0 46676.2981 233.381491 0
352 57807.2305 240.30231 77487.6188 0 46842.9641 234.214821 0
353 52273.597 240.30231 63257.2892 0 47009.6301 235.048151 0
354 48636.0148 240.30231 51865.5646 0 47176.2961 235.881481 0
355 46278.159 240.30231 43004.7951 0 47342.9621 236.714811 0
356 44634.5712 240.455198 46147.7106 -1.54322234 47480.5938 237.402969 29.0343677
357 43315.3493 240.961633 21179.3651 0 47547.5159 237.737579 70.7095143
